id,name_ke,name_hachigu,6th/nega_posi,6th/gorui,6th/junishi,6th/seko_oko,6th/fukushin/gorui_fukushin,6th/fukushin/junishi_fukushin,5th/nega_posi,5th/gorui,5th/junishi,5th/seko_oko,5th/fukushin/gorui_fukushin,5th/fukushin/junishi_fukushin,4th/nega_posi,4th/gorui,4th/junishi,4th/seko_oko,4th/fukushin/gorui_fukushin,4th/fukushin/junishi_fukushin,3rd/nega_posi,3rd/gorui,3rd/junishi,3rd/seko_oko,3rd/fukushin/gorui_fukushin,3rd/fukushin/junishi_fukushin,2nd/nega_posi,2nd/gorui,2nd/junishi,2nd/seko_oko,2nd/fukushin/gorui_fukushin,2nd/fukushin/junishi_fukushin,1st/nega_posi,1st/gorui,1st/junishi,1st/seko_oko,1st/fukushin/gorui_fukushin,1st/fukushin/junishi_fukushin,gochu
54,天澤履,艮宮五世卦,1,兄弟,戌土,null,null,null,1,子孫,申金,世,妻財,亥水,1,父母,午火,null,null,null,0,兄弟,丑土,null,null,null,1,官⿁,卯木,応,null,null,1,父母,巳火,null,null,null,null
55,風澤中孚,艮宮遊魂卦,1,官⿁,卯木,null,null,null,1,父母,巳火,null,妻財,子水,0,兄弟,未土,世,null,null,0,兄弟,丑土,null,子孫,申金,1,官⿁,卯木,null,null,null,1,父母,巳火,応,null,null,null
56,風山漸,艮宮帰魂卦,1,官⿁,卯木,応,null,null,1,父母,巳火,null,妻財,子水,0,兄弟,未土,null,null,null,1,子孫,申金,世,null,null,0,父母,午火,null,null,null,0,兄弟,辰土,null,null,null,null
57,坤為地,坤本宮首卦,0,子孫,酉金,世,null,null,0,妻財,亥水,null,null,null,0,兄弟,丑土,null,null,null,0,官⿁,卯木,応,null,null,0,父母,巳火,null,null,null,0,兄弟,未土,null,null,null,六冲卦
58,地雷復,坤宮一世卦,0,子孫,酉金,null,null,null,0,妻財,亥水,null,null,null,0,兄弟,丑土,応,null,null,0,兄弟,辰土,null,null,null,0,官⿁,寅木,null,父母,巳火,1,妻財,子水,世,null,null,六合卦
59,地澤臨,坤宮二世卦,0,子孫,酉金,null,null,null,0,妻財,亥水,応,null,null,0,兄弟,丑土,null,null,null,0,兄弟,丑土,null,null,null,1,官⿁,卯木,世,null,null,1,父母,巳火,null,null,null,null
60,地天泰,坤宮三世卦,0,子孫,酉金,応,null,null,0,妻財,亥水,null,null,null,0,兄弟,丑土,null,null,null,1,兄弟,辰土,世,null,null,1,官⿁,寅木,null,父母,巳火,1,妻財,子水,null,null,null,六合卦
61,雷天大壮,坤宮四世卦,0,兄弟,戌土,null,null,null,0,子孫,申金,null,null,null,1,父母,午火,世,null,null,1,兄弟,辰土,null,null,null,1,官⿁,寅木,null,null,null,1,妻財,子水,応,null,null,六冲卦
62,澤天夬,坤宮五世卦,0,兄弟,未土,null,null,null,1,子孫,酉金,世,null,null,1,妻財,亥水,null,null,null,1,兄弟,辰土,null,null,null,1,官⿁,寅木,応,父母,巳火,1,妻財,子水,null,null,null,null
63,水天需,坤宮遊魂卦,0,妻財,子水,null,null,null,1,兄弟,戌土,null,null,null,0,子孫,申金,世,null,null,1,兄弟,辰土,null,null,null,1,官⿁,寅木,null,父母,巳火,1,妻財,子水,応,null,null,null
64,水地比,坤宮帰魂卦,0,妻財,子水,応,null,null,1,兄弟,戌土,null,null,null,0,子孫,申金,null,null,null,0,官⿁,卯木,世,null,null,0,父母,巳火,null,null,null,0,兄弟,未土,null,null,null,null
